,timestamp,patient_dialogue,interviewer_dialogue
0,00:00:00, ," Hi, this is Interviewer, the landlady."
1, 00:00:11," Oh, how- how’s it going? Uhm.. yeah, we got a situation going on. Uhm.. there’s a leak in the toilet, like we can’t like-- it’s just constantly flooding. It won’t stop. It’s- it’s driving us nuts. We’re a little worried too ‘cause uhm.. we don’t want the whole- whole carpet to just get ruined and everything, you know?"," Hmm... Well, I don't know what I can do about your problem right now."
2, 00:00:31," Do- do you know, like, is there any uhm.. any plumber that can help or anything like that? Is there someone you rely on or...", I do all the repairs myself for the whole building.
3, 00:00:41, Do you-- but you don’t know how to fix this?, I have a lot of other tenants with problems that are ahead of yours.
4, 00:00:49," That- that’s ridiculous. That is completely ridiculous. Lo- look, I don’t-- we’ll do whatever we can to get this-- this is a real big deal. I’m-- this-- it’s scaring the kids. Like they- they can’t use the toilet. We have to go down to the 7-Eleven to use the bathroom and it’s very disgusting.", It didn’t sound that bad the last time you called.
5, 00:01:08," Oh, it’s getting worse. I-- you just caught me at a good time when I called you, but I-- I have had it up to here. I can’t-- it’s driving us nuts. We- we don’t even want to be in the house right now. But like-- it- there- there’s something like-- do you- do you know anybody like we can call that’s- that- that can do it for cheap and does a decent job at it at least?"," Uhm.. I have a list and you’re on the list, but there are other problems that are more serious."
6, 00:01:42," Okay. That- that’s fine. That’s fine. Okay. Okay. I will find somebody. It’s-- sorry we’re bothering you. I guess-- I- I guess you’re just super busy and better than us and think you’re better than us that you can’t help us out. You know, like, I work two jobs and my husband, he’s- he got laid off and he’s trying real hard right now and we just really need some help. This is just too much to go on right now. I’m about", 
7, 00:02:11, ," So, what have you done about the problem so far?"
8, 00:02:24," Oh, for-- we just- we just stuffed some towels underneath the- the crack- the crevasse of the door like to stop the water from flowing. Like, it won’t stop. It’s gonna flood the whole house and my husband, like, he doesn’t know anything about plumbing. Like, god bless his heart, but I don’t either and we don’t have a-- anybody we know of that- that can help and we’re about-- we might just have to sleep in the-- sleep in the car. We can’t sleep in our own beds."," So, I’m aware of the problem and I’ll be over as soon as possible."
9, 00:03:09," Oh, my god. Thank-- god bless you. I’m so sorry for giving any attitude earlier. Thank you so much. Thank you.", All right. Thank you. Bye-bye.
